City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,86,AU,1573146811,82,-42.78,147.06,42.01,2.35
1,kigoma,29,TZ,1573146811,68,-4.88,29.64,80.2,5.53
2,atuona,39,PF,1573146811,79,-9.8,-139.03,79.52,15.12
3,panaba,28,MX,1573146811,68,21.28,-88.27,85.15,10.0
4,hithadhoo,66,MV,1573146811,70,-0.6,73.08,82.45,9.95
5,arraial do cabo,75,BR,1573146539,78,-22.97,-42.02,78.8,14.99
6,palmer,75,AU,1573146812,87,-34.85,139.16,59.0,24.16
7,linjiang,0,CN,1573146812,45,41.81,126.91,20.14,4.45
8,bambous virieux,40,MU,1573146812,78,-20.34,57.76,75.2,10.29
9,vaini,60,IN,1573146812,97,15.34,74.49,66.51,2.59
10,kabwe,79,ZM,1573146812,34,-14.44,28.44,79.97,6.64
11,butaritari,47,KI,1573146812,71,3.07,172.79,83.71,9.06
12,saint-philippe,90,CA,1573146813,83,45.36,-73.48,34.0,8.05
13,mayo,90,CA,1573146813,85,63.59,-135.9,10.4,2.24
14,victoria,75,BN,1573146813,94,5.28,115.24,77.0,11.61
15,port-gentil,40,GA,1573146813,79,-0.72,8.78,84.2,10.29
16,ahipara,39,NZ,1573146814,100,-35.17,173.16,64.0,11.05
17,cockburn town,40,TC,1573146814,74,21.46,-71.14,84.2,10.29
18,hilo,90,US,1573146816,83,19.71,-155.08,71.6,6.93
19,miyako,73,JP,1573146817,87,33.63,130.94,57.2,5.82
20,savelugu,0,GH,1573146817,41,9.63,-0.83,89.4,7.52
21,gamba,0,CN,1573146818,71,28.28,88.52,26.47,2.82
22,avarua,11,CK,1573146783,94,-21.21,-159.78,71.6,2.24
23,hobart,99,AU,1573146818,82,-42.88,147.33,42.01,8.12
24,lufilufi,20,WS,1573146818,94,-13.87,-171.6,71.6,12.37
25,lompoc,90,US,1573146595,93,34.64,-120.46,60.8,5.17
26,rikitea,33,PF,1573146819,79,-23.12,-134.97,75.74,4.7
27,ushuaia,75,AR,1573146819,65,-54.81,-68.31,41.0,24.16
28,valdivia,74,CL,1573146819,28,-39.81,-73.25,66.43,6.93
29,douglas,90,US,1573146819,100,58.28,-134.39,42.8,3.33
30,adrar,0,DZ,1573146820,19,27.87,-0.29,78.8,11.41
31,lebu,75,ET,1573146820,48,8.96,38.73,64.4,6.93
32,nouadhibou,15,MR,1573146820,53,20.93,-17.03,75.2,16.11
33,huarmey,34,PE,1573146821,48,-10.07,-78.15,76.33,8.68
34,barrow,1,AR,1573146821,36,-38.31,-60.23,63.63,13.02
35,punta arenas,85,CL,1573146821,72,-53.16,-70.91,43.2,26.82
36,garowe,29,SO,1573146821,70,8.41,48.48,79.74,9.64
37,hambantota,0,LK,1573146821,79,6.12,81.12,81.54,13.11
38,tura,99,RU,1573146822,97,64.27,100.22,-0.17,2.84
39,ponta do sol,95,BR,1573146822,63,-20.63,-46.0,81.72,7.72
40,aitape,100,PG,1573146822,79,-3.15,142.36,81.61,6.26
41,bluff,0,AU,1573146822,57,-23.58,149.07,64.67,2.28
42,tuktoyaktuk,90,CA,1573146822,78,69.44,-133.03,17.6,16.11
43,albany,90,US,1573146822,70,42.65,-73.75,48.0,3.36
44,ambunti,79,PG,1573146823,95,-4.22,142.82,72.57,1.86
45,chitradurga,84,IN,1573146823,81,14.23,76.4,73.27,6.67
46,sokyryany,100,UA,1573146823,72,48.45,27.42,52.59,2.42
47,cherskiy,98,RU,1573146823,78,68.75,161.3,26.24,11.77
48,georgetown,75,GY,1573146612,94,6.8,-58.16,86.0,9.17
